"trial","han001","han002","han003","han004","han005","han006","han007","han008","han009","han010","han011","han012","han013","han014","han015","han016","han017","han018","han019","han020","han021","han022","han023","han024","han025","han026","han027","han028","han029"
1,2.18756204367809,-3.8535597158594,-24.5667641509139,0.548547549226791,6.98548166473686,-6.99721812382418,3.29592358662388,-0.632699055090275,-7.39816220520221,-26.959461439144,-4.21582761549616,1.58970446247205,4.53547220150324,6.67595558872774,-10.4342625343323,-31.8529036804498,-11.397223437368,2.62971183757098,0.265313575447391,-0.439173331475249,4.84598412438305,-6.24808903711382,6.8367994877347,-4.55052798917602,-10.374257363994,-6.26302677969521,-9.95407521161361,-6.0046039441021,-4.59599621543309
2,NA,0.455821082699542,3.05699115799271,87.3634246598879,15.0055770415947,-2.75663558290136,1.39375064750426,-9.39673650944809,-1.72807791787026,1.62180270296622,44.2926033125701,5.5489763839593,2.39353855382768,7.9620287221725,0.694664453162083,11.1216292208728,46.4009143542574,11.1728267544351,21.6227353123532,-1.96483620553055,2.40759664528988,-78.4668258822947,16.1306050287307,3.18589883686086,0.504977182627357,-3.18913484141999,12.5992932788473,-1.06086875219427,8.11244057945886
3,52.6850161839922,13.2688151553823,-2.22861160188746,48.0300375134372,8.35675541338532,2.89336479502564,4.41140077997275,55.1955496415044,-3.89985547247616,-17.4066641697198,1.23126236993895,12.87565293953,2.5837777437138,51.3825109060231,-1.71167638459422,-25.2574628848082,NA,32.3350106538526,-27.2226593786924,-34.7152635018773,10.1633231902936,-0.155200961306726,-20.7877168624549,19.6724735243645,3.81950602395146,11.7911752713203,19.155293171733,-19.9988715549173,-7.39813357665803
4,29.4608353577925,1.84955316305035,0.0683662499557425,44.0423475629017,18.5230056582586,41.7924544353909,42.0675521934787,7.24387211341343,16.8440179951028,-42.6231854949173,-8.21234833899425,23.1302681458749,46.4092152170634,22.4317228701324,1.24434745036922,17.5634347566564,29.4461265029529,20.0673834365926,12.9121989773817,14.1814249202646,29.4809894520436,-62.6480104652168,9.81423062601908,48.3352431714879,7.95711616262485,33.6484609889713,32.0377727035534,-16.9708605653808,59.2435294279698
5,27.3378876657431,-4.01786845804854,12.5041985960781,73.6708637074709,16.0174926668867,4.3209344581691,17.981330211185,20.2096580319164,17.7341534498929,67.7866102301891,2.25485606124417,15.2904634398087,10.4832386525445,13.7605611683631,11.8335663467709,-18.3676179851196,19.0658984920087,40.6574316508147,-2.5829125102409,5.09177148558308,34.486181473848,49.2881257485242,-3.43518232361753,27.3397205349544,-7.19844925549012,12.0081271893474,26.5403342815529,8.31865986631881,12.3261940816834
6,33.351817595252,12.3017039868956,14.0228462548398,70.1593691893885,25.6503383823837,33.3650998654087,26.1266584571719,33.2821230892035,4.69455468551325,-7.97214365794846,0.448866690423244,22.3852033050343,-17.9321459118416,44.500218592326,-24.8100624490624,23.4972122728406,-53.0437067082848,22.7889479391935,22.1061027239799,31.0782898016084,13.0321268276734,31.0441236465764,-0.976633749963694,22.7599371759437,10.5043781676009,2.62658159283822,36.5404421631102,-12.1481408181328,22.6842831963715
7,37.7854898399511,12.3043459393971,22.1571150239731,39.255592826134,20.2245585010707,5.81668335524148,20.4040326113039,50.1484172761737,13.9985331907502,-34.8389874608865,8.22754612085613,33.5328848419978,NA,21.4136469009501,9.44321852839701,31.549553797689,19.1822820297772,22.4858346331689,16.489525943011,37.2600036404778,20.4742007289928,66.6118022667453,23.3352321608997,29.2195952829909,-1.91460997023323,19.0898696172001,24.1978777088154,11.6521311555925,22.0835955021064
8,10.3487065924085,27.6685768320006,38.866376864068,49.9990622239002,24.0262168486609,13.0683480037947,58.0671250162697,16.6474572039442,-7.76659447700056,-32.5829528609123,30.4613273193632,19.5621209706972,NA,23.6688670403909,14.7302978983631,21.9822190636727,8.6375244710619,39.8742446793603,1.74218118277249,20.5454932093292,37.2462632270923,-48.8166081187724,15.4181203561956,63.9401766451058,3.36885699987315,30.8530892319276,22.4465071372494,-3.18304756912722,18.5132660016355
9,33.3158866446876,16.2414844898327,-4.8445355730447,57.3462915241859,17.6896298202101,29.6537976911433,31.9634235378592,37.7307107685498,44.8777450421208,10.3251692196996,41.7803205840745,53.0056564696334,42.101446295077,12.9944080574157,15.8543609160323,16.309461304002,38.4192003673773,37.3316410057895,25.919661351549,29.9433638645558,12.109952178483,-12.2992011652065,6.06125890822786,45.4465371279023,36.916846691513,26.7156227009737,29.4895327108836,16.6786494432621,31.7625863731156
10,26.8232515238106,13.6999237099672,9.91631882955856,68.199083706775,26.8970424333557,28.101554696799,20.5154092657068,13.9843103686719,10.8295977047011,40.4201955319875,10.6075435213146,17.6547270623614,25.1807398225988,19.5676020793878,26.7482064687052,13.9028874568817,6.87346898735017,19.9849623792712,40.8462930537138,31.9572716286696,15.77492086774,41.0223154684169,-1.28555920298828,17.2672942030753,-9.49105633503128,32.2637017027251,28.6698327739062,36.0423729384915,37.484185477103
11,26.2292741388416,15.4650460587781,16.5991482906066,52.7532617046906,20.9137581612607,30.3361548082706,41.5500754760573,32.9465676397478,27.7693103915435,10.4350034475241,33.6804586894769,20.9987713591121,28.9188462369084,27.1305850215113,28.1729400606317,11.2930900122506,28.6699199226567,23.8559569163921,19.8157510716419,17.1087292680445,30.8172471890266,-24.7102766106264,2.44872978918703,14.8273242526448,-6.13529105467204,-28.3963603833141,13.1863401700343,14.2246409965894,18.3874200203436
12,27.8598396000855,12.8354936619339,51.2967930288511,32.90615811634,25.2256258566568,37.3989655596747,26.5720698477165,32.104332509395,18.3697385547676,29.492475417943,42.4697734765479,20.9411873957354,38.402542205057,11.2419043758266,15.506463292903,16.9369893975723,31.0455381692208,45.4171636361607,5.9585696692834,33.2133396138907,33.1070588564728,94.2859113951356,1.64927099412251,26.2725746528428,4.14308790659082,45.331607056376,26.5847376357658,10.3641231974932,21.7176809592046
13,18.8873592157684,31.4453772314269,13.9326774664428,54.8033532087487,39.1230668234793,16.595697810238,33.4068853550905,14.7676360253694,43.6206434307718,-27.0318765903803,28.8275000567796,23.8757762114122,37.0453461377596,18.4148404667286,20.8003657793515,32.9474904081261,41.1749716101521,37.7551105429257,37.4625648608189,28.9052550147617,13.5193703239146,50.2712401696426,28.2051569464251,12.6434275824287,37.3745085520962,21.978910807671,39.9964496972054,21.0893696246242,20.5975114161494
14,31.0919877269217,12.6341658305218,-6.86172098027349,94.7995718119352,22.3323330545129,34.7481414026632,28.5628137608952,42.8005600736024,12.3368959371102,27.490429416839,32.0796709312031,39.0134202732835,38.0940060337418,10.8951128862437,17.9664104273393,11.0848831906349,32.188860833717,35.2846097229773,53.8285929501837,32.9196466356382,20.055280007757,-61.0945486846083,24.9062051432361,11.8823826269226,-2.35175659734741,25.1561783990398,28.1847410341185,11.2164903808888,24.7903514351177
15,26.9171414082902,34.0539465807824,5.88953409070611,40.6144986609154,24.7893011107007,22.2090613852858,26.4996611102385,30.0310521220079,19.648426655252,6.43435036418745,15.4474449841904,36.2023758180321,42.0971875193189,32.6177123521134,17.6992316917573,17.6093760509589,39.1130903883253,36.7957894009415,30.8281433415084,29.0460410471513,24.4584576302074,37.2972110548383,16.5869320416159,27.3317912859977,-11.5968339983882,23.1981644950305,14.2359299334284,36.634396222109,41.9686677009821
16,35.7842577926991,25.5205737464896,26.4204070683558,35.9933235132079,14.9717068624044,35.6981253256692,17.5293633921152,22.7675181985672,21.3983368659628,16.9287625446442,42.9094674191961,31.3794211077301,28.276797377781,12.4676505697238,15.8605891651478,43.1738730420084,25.2442890819403,20.9467414713431,-20.4172431165497,29.6105879264545,25.6752569293808,120.196089313819,25.4406873498742,-0.168500533685474,0.00430475996525104,7.49205647333807,26.8344685574999,24.4386998868879,23.0645332749502
17,37.3866432208813,29.4606946444892,14.7721170719518,51.0125003838178,22.5790216209429,28.4105562977096,29.1543492255767,37.9631593408994,8.85995431949206,12.6155035009875,28.7533399970301,40.3364203138689,45.4280544171588,16.4654818426613,9.19623862149214,20.1085213254844,30.010091764477,26.6675573825789,31.2328372446308,31.413579357909,25.4867156226265,-46.3970979221446,26.0554869092911,0.590954362678878,36.3039431460142,10.6389050309228,27.2009511485635,27.3031669910226,20.3613334100825
18,44.7974983720789,24.8917009382766,-3.82958421792951,51.9200575592236,16.8484328904185,15.3664080888169,36.872853827668,38.3013048180054,10.5856985965455,-7.67821218929902,11.094297164728,18.9332805553583,36.5860427585384,13.0136504902584,23.2427670227522,15.9660528742931,9.58656754336519,25.5966051500634,26.9504614906013,20.0217456833493,23.9477187097817,47.0517349649217,52.9574786873657,33.2366065431777,9.46642160749745,26.790296850803,28.0764066818819,22.8898584459226,14.918055751573
19,24.4603038054522,35.655807326867,8.5398697379368,42.6548162030068,30.0345750012691,25.6182783720237,52.5617917258812,28.3446434666621,32.1422438198235,17.989088459455,18.0182098332585,44.1861698222538,35.3062951048013,43.2044928298068,26.1194453195726,22.0594489343187,8.10462556542441,24.4549427451463,40.638427320621,32.6675513540689,14.0963304895619,3.56512123895319,8.0440593643844,7.36501096743649,22.6105263190659,14.3007957737895,25.2127292231135,29.8010106474238,26.139281606309
20,21.5932763725798,42.4925653532792,30.2523918219208,32.6488491872589,26.6517688213591,20.4080234622547,20.496286142519,30.6522679115586,33.2776062566554,24.5055279795352,31.6855380631383,29.793182820357,36.2494045553856,26.5769149618821,5.78209198210085,13.1437303850991,19.6056845840099,27.9576172244334,-5.96258718266778,32.5792218143958,17.8299912184249,43.9257028457082,35.1872829726574,21.6270475257918,27.6197985263375,8.20416212053782,29.2119628585276,31.8321533783113,8.74620587636374
21,33.5847830082029,15.9679242338661,11.7423255322508,50.7572699704088,19.2132465214677,25.4925667098105,24.5650625204046,25.7896388578499,35.4596408203218,4.62671655140303,25.4665585352283,41.2578633309664,15.3743290871587,26.3979772840786,6.27819551978748,14.4776073168569,44.4574381419687,38.8162092334458,47.7613325625378,22.7667551272479,39.8435054917368,47.7396698820494,43.6685011715878,-3.45887983230059,1.33654108722607,31.0992748909152,39.3308413014655,31.9989462823627,22.4404819274871
22,45.7506381083321,26.2722752588224,7.6010534238912,33.513686639599,37.5968018058952,29.6742020591363,45.2649012708693,30.039380285098,25.5704622382862,15.3979795902848,23.2338604348669,32.643016601673,25.9620782887117,30.6265211340742,26.1644485426639,28.7581879066076,32.6799798081184,28.5039332076396,46.1915665694009,32.6754247298312,33.0354172179033,4.79986191657501,34.2704336102498,7.76612560513114,38.0670077207164,29.2555164304973,35.3958196931276,36.3403432039664,17.0851402409656
23,35.7033693090267,17.5025631029689,32.7653125887146,59.6098536133688,23.9022060823599,22.9013594773896,30.1459070045701,23.3871888007424,19.8611433105724,15.6364127716978,33.8717782951573,32.9304616192103,28.7203468855328,21.3095459281223,22.6418634491383,17.4351677936981,26.4214719386062,40.5459539959538,50.6089772142064,34.0467858521564,18.2703297729551,16.5522018680481,16.5679820695962,35.6487465249732,29.3770588389566,22.2274351340097,37.4284084939184,9.62358315948378,27.1398700392671
24,20.2830400320376,19.1738184889136,10.6171831287079,29.8713001683938,8.2642987924323,40.0332946402741,14.8738625407851,44.9854581302432,28.9414061752471,29.7775914448722,40.8370049643435,36.6990837203678,52.1699554436941,39.5115167067347,14.4844983510357,17.9228943199905,8.86958931477804,30.2039499666404,25.1809894842952,24.9491538594745,32.6697199091579,-8.59658087436748,39.7224455122586,-4.2953989155421,43.3702514042571,31.1334254515248,22.8201448292144,32.1547115202825,40.4454258011382
25,29.1071263147892,29.4382478095829,13.9864465819114,28.2638101718884,23.7844079221845,30.7330211322426,32.5715200439146,21.4371313032023,45.8791270964739,26.5747514331819,24.5626524390727,39.247485342776,32.1170159417364,19.2884550588448,14.4614388772035,15.1781582960878,40.3755849286682,19.4779163510871,25.7091289386169,34.2904557541615,24.4445966440683,-17.4611232108008,45.0014414477767,33.8934797584644,4.06850384206995,25.5921113593897,37.1705906136025,39.254527453798,22.5810536623472
26,34.5590647100535,10.9117462448265,6.6391216801158,50.5993929428207,30.1293495999381,15.9929126467891,30.2981063091406,33.5589616848134,9.57407570804475,39.4732481090706,32.683260514643,32.8721152334194,20.0773781822719,29.5972199402809,14.3106775865025,13.4058991604479,37.1182945205879,12.946930503035,17.4425017843854,25.357845028705,25.7768762998784,57.7899001479357,22.2909762204613,31.3130591810699,14.285699775303,39.3476598112535,27.6959789608977,34.8268408369925,22.4582670367095
27,19.9485672817523,19.4100705532051,20.6132300916009,38.7340489288985,29.7635581919514,30.2288326129073,22.8912229983389,23.3301592059807,9.98209937848908,21.8552961188806,7.90367915973088,22.1541299714154,21.3591205552821,9.97123893468838,10.1884548940243,15.3336557589665,18.0905859356627,40.4448529773518,39.3715978953715,23.3819222525406,28.1389956694852,28.9277311958342,18.9406411215705,1.58420942364981,19.8083430468026,45.8117896217726,13.2946811874539,35.7531650876864,48.4463551219157
28,25.062970408768,17.1759584222537,0.86764086816012,42.7719585320234,32.4293554840741,37.8283828013726,18.5662519807859,28.7094502070517,18.8457127749534,16.5614024764738,29.8385240520582,30.364395086278,29.5513459905873,32.2778610843279,15.4768027934206,23.1851972270948,22.6536300953035,37.8173971489382,24.8606905514389,29.1732175329571,25.2456126932338,-17.4280657208707,26.1355566567675,14.0441771286482,37.3319534594959,22.736752832668,22.9645441656222,34.0640275651574,44.630547506162
29,19.6472436419126,19.341496837432,-11.4335330326534,60.5823219435675,18.2539217931206,27.4107727465264,38.3059769686386,26.8595243645426,13.2278265916209,3.7008456691002,13.4403852912483,28.2048179985204,43.6450658391088,5.85063687696883,14.864594022194,18.5139192014261,28.1139622938095,32.8416720759227,53.0340740059226,22.2144854559615,28.2127799091646,23.732111154096,31.8751668913532,23.3754726765485,16.0795816038004,45.2197882127602,26.5169786701588,36.3333765749858,23.2927838871674
30,37.1935725518723,16.7890188101911,6.91594818153601,44.9267617401688,22.6034095871602,15.177258129108,30.6347034570769,28.8387467096541,14.2229439808659,17.2725298750713,22.9864825074832,30.579419304636,41.8011381062369,28.5803572893602,10.436526059747,27.0485226735035,31.6681850688582,41.3413122184041,14.5747794021569,21.5543534302616,19.6241350866619,1.2428478916151,37.4569645618236,20.3215097914012,4.51953763618316,57.9466709935991,26.1650288088005,24.507629335439,18.2831250390176
31,33.3681175910451,18.2121955473768,0.2489198930204,58.4680374029282,26.3024501231605,36.8918841374662,24.1881573527699,36.5280264350707,11.960638551455,30.9585538227929,23.133770195637,31.6690761326062,26.1264293333443,30.3515156020903,26.5095786901049,37.1644623646253,11.278609084641,21.7804649195786,31.4055345050611,40.9316329956941,22.9053166880937,-13.2395454627296,13.6400454576253,37.3252906338844,21.3162441084805,21.6070470756757,31.2417826535373,35.6609616983861,18.4049251119957
32,31.0717686784413,27.5877818476336,2.10845726249907,28.9629079824392,22.7062994884126,21.8374251266728,36.4848253717023,21.3877261652629,12.301696311458,20.9218894879147,32.6199448961745,22.1639652612958,25.4149186387541,37.8433519501118,0.217010726595742,27.251911698263,38.1463911936721,27.41455431223,20.8223021423136,28.300451831518,42.0057585092668,20.0229118657694,47.955993117767,25.5371230190615,22.58604974413,31.856535227201,22.8937688060987,30.0649119377344,40.8796985544402
33,21.9619717881351,36.3775981150249,18.2176859941537,28.4885109021687,25.5000863250465,27.1486901921765,25.4186938294406,25.2831971450142,12.1186342351457,26.144922533229,35.3678484573528,33.6807785826715,46.8911900224871,13.493227853304,22.5605429145326,28.5169466896601,18.7534202513583,13.9051640637287,20.0947046022085,23.3714316722649,13.6937629787398,-27.7171955665216,29.257279045061,11.7963646264792,22.2913687965402,28.2624058871963,29.5344984176994,35.1736260250722,14.2449813044786
34,34.2049849659496,42.0595245402296,29.6067905845576,25.8737328551904,39.8042212214633,24.3960144038014,36.9093437920395,37.328996405202,2.2375630408822,14.8300832325602,19.5573276980546,23.86630241891,34.5479701132839,28.8951152323284,2.37989792867917,23.23632337405,54.2146718393232,32.337349779232,31.8832674416619,23.7500524728785,34.5229117706327,-13.0189370663336,32.7682616887381,4.22898881899233,23.7211364275199,8.80774208241713,27.6936140031984,28.7645432325318,15.209562567045
35,34.7024128700418,29.6102388024144,27.9107181854495,29.8590386703725,31.6100824409824,21.4571284092095,29.1669988772471,26.8923212877453,33.3152807042959,-23.0701319798185,39.5504588195835,13.5268301038835,34.8805020222098,30.1975543711304,24.2689725769312,25.5480161864252,13.2085326081724,28.4968878959449,30.7494688288468,17.359677000619,18.4685130770374,35.7137176770963,50.1998340664194,7.69311413319645,46.4814786785908,11.5549152178698,30.5193716278864,26.965482075554,42.6335631438127
36,51.3151803868311,23.2420009500351,10.7232493081585,37.3508887739073,16.3336173944605,41.60468999381,36.3615840638155,27.7026331033155,32.8054241054093,17.0310446216366,29.9270074246624,32.8008595139098,34.6825680211854,16.5402037058331,17.9412525127249,34.0032130423613,20.7886782350527,22.721277434153,28.0037700074098,23.7543150539865,24.6244685050966,23.6989313482495,11.5342886860567,27.9651697356241,-0.55740600642978,45.9911543577841,13.1109435572371,37.7701303611729,24.3178266053251
37,23.7733266763021,28.5065529609706,-4.16910704535403,29.6386076955001,26.2609225031091,33.2924142265304,36.2932304177629,35.0874048234021,46.3160268521777,21.6730835805806,33.7448926419049,28.136160735328,44.9880002143812,35.0975699216084,17.3627623792271,38.9465407939319,21.9929370360101,35.3464901682132,5.67927961118009,25.5143333087725,14.5024600256361,18.0266774305321,27.7801641141408,45.153895933719,26.3290418062849,30.6272261746225,28.6347919153715,43.5271040343377,22.0551218575435
38,49.2769245033957,15.7424428679158,2.40582819502249,48.1495639966965,28.6361903275456,21.9831624457146,36.5161787166386,30.6325016060736,11.3908671173384,18.6616492135063,25.0027623971556,7.8404661206348,19.6865235074185,9.4020987959412,-0.667045932788734,24.389183991845,56.0176118422616,24.5490358005303,40.2162362257202,19.3163671705238,22.0644698382447,24.13058694929,39.2309605771164,4.15973501652733,19.2783132368977,23.4941309988218,25.5414840785977,15.6699082993818,28.0772625408744
39,67.1401977529674,24.9177000579886,2.06618022137391,29.3990813515188,24.6014635112885,35.3763340869231,33.763510759343,21.6549879889617,20.0688035053474,26.502513924696,23.7013301149193,16.5207985341505,29.168741260165,42.0948664971148,8.30957981586644,17.0907442851357,30.793459200109,29.084045026219,40.077600289577,12.305189301299,27.673118787657,8.38998046542705,26.6352598774323,37.9949518172929,18.9114470415422,19.9594407433539,40.2678000463401,40.8098297889569,15.3801971382942
40,18.7110956575433,23.1865346847988,10.6317407809376,34.9012771674898,28.3427659807598,40.9065234122822,12.993885193704,33.0713840331319,22.6297437687036,25.1388811361321,34.6156438714625,24.1592518917416,38.282033366718,31.1008219434477,5.8608777409753,37.7837357348041,46.2646030570275,25.5481714887063,27.2609128266265,22.2735977131437,34.9446813310385,22.1081365958392,14.480386261905,42.793911272424,13.9439031495501,27.0380052904195,22.8029567052704,31.6246448814498,26.165068319804
41,47.6723759728593,20.2204697604965,16.4649101364277,35.8332205640447,23.397920299019,18.9355027301394,29.6126260733318,24.3740320159757,14.9126955888777,22.4668236250381,21.2862742495641,30.8093420539507,21.4475819138161,16.3617425831975,14.7513970759821,18.4746096977667,20.3322026412951,21.7223919498303,14.4759242855354,25.4835495027638,23.5097845347258,33.5382239407654,43.7918226874564,27.7151191738258,23.1796242309635,23.2389240422071,28.3142260635236,31.6509233620226,23.6537116496892
42,41.0827914190827,34.2090672737731,19.967720733614,32.7847828133628,37.1029845931792,12.0566323776749,39.5343021967762,31.2702162120752,14.8767250134643,9.19828086039983,21.1193699052362,-1.92423629291791,28.1367442901035,14.7484416454267,16.8334372104338,28.3873716623721,8.86202946659339,39.7342422150391,21.5102028354607,25.6472727522109,22.8374721415762,14.3082234451541,24.9373667941733,11.5409135606252,18.5728760203909,13.2074067669012,17.9341484789371,41.2896077525923,24.0298430958889
43,35.627708506398,32.030664624154,13.7761120605481,30.3289670830319,29.865782994519,21.6540400711417,46.0339509329619,31.2375095634974,12.3081215142125,33.4146930679023,38.2728126590873,23.3884013569894,33.6044184908646,21.1333521495021,13.1967467166667,14.0508600108575,6.07186008733804,22.4385789518833,24.9317098350972,32.0091477021916,19.3105063544057,30.5284514426312,19.6734397982634,27.3362610297112,17.2504454992119,27.3819474600942,31.5542615269763,37.6214844266598,21.6400810904909
44,14.7671401020211,25.2264046881687,8.79460285686417,40.7076239937288,12.9390286488743,24.2534700569844,23.4793440754823,30.364580535913,3.59810364628426,26.8446064936624,42.0339630903978,17.6079230862123,25.3294461619623,53.3256244635216,14.100265265343,5.61475574052483,42.8870680777024,29.1249420648442,19.5193995696553,28.9274349352836,15.2967887870221,3.00607833742246,36.0807734104846,30.8244330694784,17.7785537202376,17.2983041514465,22.0011611000022,31.5432055870717,28.6954451789582
